Fecha,Hora,Frecuencia (MHz),Nivel (dBuV)
2026-04-30,00:30:14.298,1574.0,-12.2
2026-04-30,00:30:14.298,1574.1,-12.8
2026-04-30,00:30:14.298,1574.2,-11.8
2026-04-30,00:30:14.298,1574.3,-12.5
2026-04-30,00:30:14.298,1574.4,-11.7
2026-04-30,00:30:14.298,1574.5,-12.5
2026-04-30,00:30:14.298,1574.6,-12.1
2026-04-30,00:30:14.298,1574.7,-12.7
2026-04-30,00:30:14.298,1574.8,-12.2
2026-04-30,00:30:14.298,1574.9,-11.4
2026-04-30,00:30:14.298,1575.0,-12.0
2026-04-30,00:30:14.298,1575.1,-12.2
2026-04-30,00:30:14.298,1575.2,-12.1
2026-04-30,00:30:14.298,1575.3,-12.1
2026-04-30,00:30:14.298,1575.4,-11.7
2026-04-30,00:30:14.298,1575.5,-12.3
2026-04-30,00:30:14.298,1575.6,-12.8
2026-04-30,00:30:14.298,1575.7,-13.2
2026-04-30,00:30:14.298,1575.8,-11.6
2026-04-30,00:30:14.298,1575.9,-12.2
2026-04-30,00:30:14.298,1576.0,-12.1
2026-04-30,00:30:14.468,1574.0,9.91e+37
2026-04-30,00:30:14.641,1574.0,9.91e+37
2026-04-30,00:30:14.820,1574.0,9.91e+37
2026-04-30,00:30:14.999,1574.0,9.91e+37
2026-04-30,00:30:15.207,1574.0,9.91e+37
2026-04-30,00:30:15.416,1574.0,9.91e+37
