Fecha,Hora,Frecuencia (MHz),Nivel (dBuV)
2026-05-01,00:02:05.537,100.0,23.3
2026-05-01,00:02:05.537,108.0,-14.1
2026-05-01,00:02:06.284,100.0,23.0
2026-05-01,00:02:06.284,108.0,-13.3
2026-05-01,00:02:07.037,100.0,23.4
2026-05-01,00:02:07.037,108.0,-14.1
2026-05-01,00:02:07.813,100.0,23.9
2026-05-01,00:02:07.813,108.0,-13.3
2026-05-01,00:02:08.556,100.0,22.8
2026-05-01,00:02:08.556,108.0,-13.6
2026-05-01,00:02:09.350,100.0,23.5
2026-05-01,00:02:09.350,108.0,-13.6
2026-05-01,00:02:10.125,100.0,23.1
2026-05-01,00:02:10.125,108.0,-13.5
2026-05-01,00:02:10.894,100.0,23.4
2026-05-01,00:02:10.894,108.0,-13.3
2026-05-01,00:02:11.649,100.0,23.8
2026-05-01,00:02:11.649,108.0,-13.4
2026-05-01,00:02:12.430,100.0,23.4
2026-05-01,00:02:12.430,108.0,-13.4
2026-05-01,00:02:13.189,100.0,23.5
2026-05-01,00:02:13.189,108.0,-14.3
2026-05-01,00:02:13.931,100.0,23.3
2026-05-01,00:02:13.931,108.0,-13.2
2026-05-01,00:02:14.680,100.0,23.2
2026-05-01,00:02:14.680,108.0,-13.3
2026-05-01,00:02:15.445,100.0,23.7
2026-05-01,00:02:15.445,108.0,-13.0
2026-05-01,00:02:16.219,100.0,23.3
2026-05-01,00:02:16.219,108.0,-13.5
2026-05-01,00:02:16.961,100.0,23.5
2026-05-01,00:02:16.961,108.0,-13.6
2026-05-01,00:02:17.704,100.0,23.6
2026-05-01,00:02:17.704,108.0,-13.5
2026-05-01,00:02:18.476,100.0,23.4
2026-05-01,00:02:18.476,108.0,-13.5
2026-05-01,00:02:19.231,100.0,23.3
2026-05-01,00:02:19.231,108.0,-14.6
2026-05-01,00:02:19.980,100.0,23.7
2026-05-01,00:02:19.980,108.0,-13.4
2026-05-01,00:02:20.754,100.0,23.4
2026-05-01,00:02:20.754,108.0,-13.0
2026-05-01,00:02:21.493,100.0,23.4
2026-05-01,00:02:21.493,108.0,-13.6
2026-05-01,00:02:22.270,100.0,23.4
2026-05-01,00:02:22.270,108.0,-13.2
2026-05-01,00:02:23.033,100.0,23.5
2026-05-01,00:02:23.033,108.0,-13.3
2026-05-01,00:02:23.782,100.0,23.5
2026-05-01,00:02:23.782,108.0,-13.5
2026-05-01,00:02:24.538,100.0,23.4
2026-05-01,00:02:24.538,108.0,-12.8
2026-05-01,00:02:25.306,100.0,23.4
2026-05-01,00:02:25.306,108.0,-13.7
2026-05-01,00:02:26.070,100.0,23.3
2026-05-01,00:02:26.070,108.0,-14.0
2026-05-01,00:02:26.839,100.0,23.5
2026-05-01,00:02:26.839,108.0,-13.2
2026-05-01,00:02:27.581,100.0,23.4
2026-05-01,00:02:27.581,108.0,-12.7
2026-05-01,00:02:28.331,100.0,23.6
2026-05-01,00:02:28.331,108.0,-12.8
2026-05-01,00:02:29.076,100.0,23.5
2026-05-01,00:02:29.076,108.0,-14.0
2026-05-01,00:02:29.844,100.0,23.5
2026-05-01,00:02:29.844,108.0,-13.7
2026-05-01,00:02:30.616,100.0,23.4
2026-05-01,00:02:30.616,108.0,-12.9
2026-05-01,00:02:31.369,100.0,23.1
2026-05-01,00:02:31.369,108.0,-14.7
2026-05-01,00:02:32.111,100.0,23.5
2026-05-01,00:02:32.111,108.0,-13.1
2026-05-01,00:02:32.871,100.0,23.2
2026-05-01,00:02:32.871,108.0,-13.3
2026-05-01,00:02:33.617,100.0,23.7
2026-05-01,00:02:33.617,108.0,-13.3
2026-05-01,00:02:34.386,100.0,23.4
2026-05-01,00:02:34.386,108.0,-13.6
2026-05-01,00:02:35.146,100.0,23.7
2026-05-01,00:02:35.146,108.0,-12.6
2026-05-01,00:02:35.900,100.0,23.4
2026-05-01,00:02:35.900,108.0,-13.8
2026-05-01,00:02:36.680,100.0,23.4
2026-05-01,00:02:36.680,108.0,-13.2
2026-05-01,00:02:37.445,100.0,23.4
2026-05-01,00:02:37.445,108.0,-13.4
2026-05-01,00:02:38.187,100.0,23.5
