Fecha,Hora,Frecuencia (MHz),Nivel (dBuV)
2026-05-04,14:41:24.952,100.0,43.1
2026-05-04,14:41:24.952,100.063492,31.8
2026-05-04,14:41:24.952,100.126984,42.0
2026-05-04,14:41:24.952,100.190476,31.1
2026-05-04,14:41:24.952,100.253968,44.5
2026-05-04,14:41:24.952,100.31746,31.1
2026-05-04,14:41:24.952,100.380952,44.7
2026-05-04,14:41:24.952,100.444444,28.0
2026-05-04,14:41:24.952,100.507937,39.1
2026-05-04,14:41:24.952,100.571429,22.3
2026-05-04,14:41:24.952,100.634921,25.7
2026-05-04,14:41:24.952,100.698413,40.8
2026-05-04,14:41:24.952,100.761905,18.8
2026-05-04,14:41:24.952,100.825397,39.6
2026-05-04,14:41:24.952,100.888889,41.8
2026-05-04,14:41:24.952,100.952381,42.8
2026-05-04,14:41:24.952,101.015873,42.1
2026-05-04,14:41:24.952,101.079365,42.8
2026-05-04,14:41:24.952,101.142857,44.1
2026-05-04,14:41:24.952,101.206349,41.7
2026-05-04,14:41:24.952,101.269841,40.1
2026-05-04,14:41:24.952,101.333333,41.9
2026-05-04,14:41:24.952,101.396825,42.3
2026-05-04,14:41:24.952,101.460317,39.4
2026-05-04,14:41:24.952,101.52381,44.6
2026-05-04,14:41:24.952,101.587302,30.5
2026-05-04,14:41:24.952,101.650794,31.7
2026-05-04,14:41:24.952,101.714286,38.6
2026-05-04,14:41:24.952,101.777778,38.7
2026-05-04,14:41:24.952,101.84127,32.7
2026-05-04,14:41:24.952,101.904762,41.9
2026-05-04,14:41:24.952,101.968254,21.6
2026-05-04,14:41:24.952,102.031746,40.7
2026-05-04,14:41:24.952,102.095238,21.1
2026-05-04,14:41:24.952,102.15873,35.5
2026-05-04,14:41:24.952,102.222222,31.8
2026-05-04,14:41:24.952,102.285714,39.6
2026-05-04,14:41:24.952,102.349206,41.7
2026-05-04,14:41:24.952,102.412698,35.9
2026-05-04,14:41:24.952,102.47619,18.5
2026-05-04,14:41:24.952,102.539683,40.6
2026-05-04,14:41:24.952,102.603175,41.9
2026-05-04,14:41:24.952,102.666667,37.0
2026-05-04,14:41:24.952,102.730159,39.4
2026-05-04,14:41:24.952,102.793651,38.3
2026-05-04,14:41:24.952,102.857143,41.8
2026-05-04,14:41:24.952,102.920635,18.6
2026-05-04,14:41:24.952,102.984127,40.7
2026-05-04,14:41:24.952,103.047619,37.2
2026-05-04,14:41:24.952,103.111111,35.7
2026-05-04,14:41:24.952,103.174603,43.7
2026-05-04,14:41:24.952,103.238095,28.2
2026-05-04,14:41:24.952,103.301587,36.9
2026-05-04,14:41:24.952,103.365079,34.0
2026-05-04,14:41:24.952,103.428571,37.4
2026-05-04,14:41:24.952,103.492063,27.9
2026-05-04,14:41:24.952,103.555556,30.0
2026-05-04,14:41:24.952,103.619048,30.1
2026-05-04,14:41:24.952,103.68254,29.9
2026-05-04,14:41:24.952,103.746032,29.4
2026-05-04,14:41:24.952,103.809524,27.9
2026-05-04,14:41:24.952,103.873016,18.9
2026-05-04,14:41:24.952,103.936508,35.2
2026-05-04,14:41:24.952,104.0,29.8
2026-05-04,14:41:25.725,100.0,41.1
2026-05-04,14:41:25.725,100.064516,40.5
2026-05-04,14:41:25.725,100.129032,36.2
2026-05-04,14:41:25.725,100.193548,39.1
2026-05-04,14:41:25.725,100.258065,39.8
2026-05-04,14:41:25.725,100.322581,41.3
2026-05-04,14:41:25.725,100.387097,40.9
2026-05-04,14:41:25.725,100.451613,40.3
2026-05-04,14:41:25.725,100.516129,39.2
2026-05-04,14:41:25.725,100.580645,34.2
2026-05-04,14:41:25.725,100.645161,32.6
2026-05-04,14:41:25.725,100.709677,29.0
2026-05-04,14:41:25.725,100.774194,40.9
2026-05-04,14:41:25.725,100.83871,34.5
2026-05-04,14:41:25.725,100.903226,40.0
2026-05-04,14:41:25.725,100.967742,30.8
2026-05-04,14:41:25.725,101.032258,41.6
2026-05-04,14:41:25.725,101.096774,40.2
2026-05-04,14:41:25.725,101.16129,41.0
2026-05-04,14:41:25.725,101.225806,44.1
2026-05-04,14:41:25.725,101.290323,36.5
2026-05-04,14:41:25.725,101.354839,41.4
2026-05-04,14:41:25.725,101.419355,39.7
2026-05-04,14:41:25.725,101.483871,38.5
2026-05-04,14:41:25.725,101.548387,36.5
2026-05-04,14:41:25.725,101.612903,30.4
2026-05-04,14:41:25.725,101.677419,39.0
2026-05-04,14:41:25.725,101.741935,31.2
2026-05-04,14:41:25.725,101.806452,28.7
2026-05-04,14:41:25.725,101.870968,36.4
2026-05-04,14:41:25.725,101.935484,24.5
2026-05-04,14:41:25.725,102.0,34.5
2026-05-04,14:41:25.725,102.064516,38.7
2026-05-04,14:41:25.725,102.129032,35.2
